Physics Time (ms),Script Time (ms),System Memory (MB),Wall Time (ms),Blue Cumulative Reward
9.9,0,1818.678,607110.6,4.3726
9.9,0,1818.678,607110.7,2.5588
9.9,0,1818.678,607110.8,1.1946
9.9,0,1818.678,607110.8,1.753149
9.9,0,1818.678,607110.8,1.5512
9.9,0,1818.678,607110.9,3.0976
9.9,0,1818.678,607110.9,5.8848
10.3,0,1818.305,617129.2,6.751
10.3,0,1818.305,617126.3,2.8418
10.3,0,1818.305,617126.4,4.3726
10.3,0,1818.305,617126.4,2.5588
10.3,0,1818.305,617126.5,1.1946
10.3,0,1818.305,617126.6,2.0402
10.3,0,1818.305,617127.1,1.5512
10.3,0,1818.305,617127.3,3.0976
10.3,0,1818.305,617127.3,5.8848
8.8,0,1818.305,627172.2,6.751
8.8,0,1818.305,627171.5,2.8418
8.8,0,1818.305,627171.5,4.3726
8.8,0,1818.305,627171.5,2.5588
8.8,0,1818.305,627171.6,1.1946
8.8,0,1818.305,627171.6,2.0402
8.8,0,1818.305,627171.6,1.5512
8.8,0,1818.305,627171.9,3.0976
8.8,0,1818.305,627171.9,5.8848
9.7,0,1818.683,637248.9,6.751
9.7,0,1818.683,637244.7,2.8418
9.7,0,1818.683,637244.8,4.3726
9.7,0,1818.683,637244.8,2.5588
9.7,0,1818.683,637244.9,1.1946
9.7,0,1818.683,637245.1,2.0402
9.7,0,1818.683,637245.2,1.5512
9.7,0,1818.683,637245.5,3.25128
9.7,0,1818.683,637245.6,5.8848
9.5,0,1819.403,647442.9,6.751
9.5,0,1819.403,647437.5,2.8418
9.5,0,1819.403,647437.7,4.609503
9.5,0,1819.403,647437.7,2.5588
9.5,0,1819.403,647437.8,1.1946
9.5,0,1819.403,647437.9,2.043529
9.5,0,1819.403,647438.4,1.5512
9.5,0,1819.403,647438.5,4.2502
9.5,0,1819.403,647438.8,5.8848
9.6,0,1820.786,668245.3,6.751
9.6,0,1820.786,668241.6,2.8418
9.6,0,1820.786,668241.7,5.1886
9.6,0,1820.786,668241.8,2.5588
9.6,0,1820.786,668241.9,1.1946
9.6,0,1820.786,668242.0,2.0746
9.6,0,1820.786,668242.1,1.5512
9.6,0,1820.786,668242.2,4.2502
9.6,0,1820.786,668242.3,5.8848
9.8,0,1818.35,678337.1,6.751
9.8,0,1818.35,678333.1,2.8418
9.8,0,1818.35,678333.1,5.1886
9.8,0,1818.35,678333.2,2.5588
9.8,0,1818.35,678333.3,1.1946
9.8,0,1818.35,678333.3,2.0746
9.8,0,1818.35,678333.4,1.5512
9.8,0,1818.35,678333.4,4.2502
9.8,0,1818.35,678333.5,5.8848
11.6,0,1819,688396.8,6.751
11.6,0,1819,688394.3,2.8418
11.6,0,1819,688394.4,5.1886
11.6,0,1819,688394.5,2.5588
11.6,0,1819,688395.1,1.1946
11.6,0,1819,688395.4,2.0746
11.6,0,1819,688395.7,1.5512
11.6,0,1819,688396.1,4.494823
11.6,0,1819,688396.9,5.8848
9.8,0,1818.367,698492.1,6.751
9.8,0,1818.367,698487.8,2.8418
9.8,0,1818.367,698487.8,5.1886
9.8,0,1818.367,698487.9,2.5588
9.8,0,1818.367,698487.9,1.1946
9.8,0,1818.367,698488.0,2.0746
9.8,0,1818.367,698488.1,1.5512
9.8,0,1818.367,698488.7,4.663
